Issue ID,Parent ID,Issue Type,Summary,Description,Epic Name,Epic Link,Story Points,Priority,Status,Sprint,Assignee,Component,Labels,Labels,Labels
1,,Epic,Gestión del Proyecto,"Planificación, documentación, ceremonias Scrum y cierre académico.",Gestión del Proyecto,,,Medium,To Do,,,,REVO,,
2,,Epic,Diseño y Experiencia,"Sistema visual, prototipos, responsive y accesibilidad.",Diseño y Experiencia,,,Medium,To Do,,,,REVO,,
3,,Epic,Autenticación y Cuentas,"Registro, sesión, JWT, bcrypt y control por roles.",Autenticación y Cuentas,,,Medium,To Do,,,,REVO,,
4,,Epic,Cuestionario Adaptativo,"Motor de tres fases, banco de preguntas y cálculo de afinidad.",Cuestionario Adaptativo,,,Medium,To Do,,,,REVO,,
5,,Epic,Motor de Machine Learning,"Dataset, entrenamiento, predicción y métricas honestas.",Motor de Machine Learning,,,Medium,To Do,,,,REVO,,
6,,Epic,Resultados y Visualización,"Pantalla de resultado, gráficas, historial y estados de error.",Resultados y Visualización,,,Medium,To Do,,,,REVO,,
7,,Epic,Panel Administrativo,Métricas del modelo y distribución de perfiles del alumnado.,Panel Administrativo,,,Medium,To Do,,,,REVO,,
8,,Epic,Infraestructura y DevOps,"Contenedores, entornos, despliegue e integración continua.",Infraestructura y DevOps,,,Medium,To Do,,,,REVO,,
9,,Epic,Gestión del Servicio,"Catálogo de servicios, SLA, incidentes y monitoreo (ITIL).",Gestión del Servicio,,,Medium,To Do,,,,REVO,,
10,,Epic,Seguridad y Calidad,"Endurecimiento, control de tráfico y suite de pruebas.",Seguridad y Calidad,,,Medium,To Do,,,,REVO,,
11,,Story,"Como equipo, queremos el documento de propuesta aprobado, para tener el alcance formalmente definido","Documento base del curso integrador. Mientras no esté aprobado no se puede comprometer alcance ni fechas.

CRITERIOS DE ACEPTACIÓN
1. El documento cubre problema, solución propuesta, alcance, Product Backlog y equipo con roles
2. El caso de estudio está vinculado a los ODS 4 y 8 con justificación escrita
3. El asesor registra la aprobación y queda versión 1.0 en el repositorio

Identificador interno: HU-01",,Gestión del Proyecto,5,Highest,To Do,S1 Fundación (17/08-28/08),Hebert Cornejo Garcia,Documentación,REVO,documentacion,apf0
12,,Story,"Como equipo, queremos el Product Backlog priorizado, para saber qué construir primero","El backlog ordena el trabajo por valor y riesgo, no por comodidad técnica.

CRITERIOS DE ACEPTACIÓN
1. Todo elemento tiene tipo, estimación en puntos, prioridad y épica
2. Los elementos del primer sprint cumplen la Definición de Preparado
3. El backlog está cargado en Jira y es visible para los cuatro integrantes

Identificador interno: HU-02",,Gestión del Proyecto,3,Highest,To Do,S1 Fundación (17/08-28/08),Hebert Cornejo Garcia,Documentación,REVO,planificacion,apf0
13,,Task,"Configurar el repositorio, el flujo de ramas y la convención de commits","Sin convención acordada el historial se vuelve inservible para auditar y para generar el changelog.

CRITERIOS DE ACEPTACIÓN
1. Ramas main protegida, develop de integración y feature/* por tarea
2. Commits en formato convencional (feat, fix, refactor, docs, test, chore)
3. .gitignore cubre .env, __pycache__, node_modules y artefactos de build

Identificador interno: TK-01",,Infraestructura y DevOps,3,High,To Do,S1 Fundación (17/08-28/08),Steven Febre Rivera,Infraestructura,REVO,infraestructura,
14,,Task,"Configurar el tablero de Jira con épicas, sprints y flujo de trabajo","El tablero es la fuente única de verdad del avance; el Gantt solo refleja el calendario.

CRITERIOS DE ACEPTACIÓN
1. Las 10 épicas creadas y los 9 sprints con fechas cargadas
2. Flujo de estados: To Do, In Progress, In Review, Done
3. Informe de burndown y de velocidad habilitados

Identificador interno: TK-02",,Gestión del Proyecto,3,High,To Do,S1 Fundación (17/08-28/08),Steven Febre Rivera,Documentación,REVO,planificacion,
15,,Task,Diseñar el modelo entidad-relación de la base de datos,"El modelo debe soportar sesiones por fases, respuestas por pregunta y trazabilidad de predicciones.

CRITERIOS DE ACEPTACIÓN
1. Diagrama ER con usuarios, especializaciones, preguntas, sesiones, respuestas y predicciones
2. Claves foraneas e índices definidos sobre las columnas de consulta frecuente
3. El modelo está revisado por el equipo antes de escribir DDL

Identificador interno: TK-03",,Cuestionario Adaptativo,5,High,To Do,S1 Fundación (17/08-28/08),Wilson Collantes Aponte,Base de Datos,REVO,backend,base-datos
16,,Task,Definir la arquitectura de microservicios y los contratos de API,"Tres servicios independientes (auth, survey, ml) obligan a fijar contratos antes de programar.

CRITERIOS DE ACEPTACIÓN
1. Diagrama de componentes con responsabilidades y puertos de cada servicio
2. Contrato de cada endpoint: método, ruta, cuerpo, respuesta y códigos de error
3. Decidido y documentado cómo se propaga la identidad entre servicios

Identificador interno: TK-04",,Infraestructura y DevOps,5,High,To Do,S1 Fundación (17/08-28/08),Wilson Collantes Aponte,Backend,REVO,backend,arquitectura
17,,Task,"Definir la política de versionado semántico, CHANGELOG y flujo de publicación","Sin política de versiones no se puede decir que se desplego ni volver atrás con criterio.

CRITERIOS DE ACEPTACIÓN
1. Versionado MAJOR.MINOR.PATCH con criterio escrito para cada incremento
2. CHANGELOG.md por versión con secciones de añadido, corregido y cambiado
3. Cada publicación queda con etiqueta anotada en Git

Identificador interno: TK-38",,Gestión del Proyecto,3,Medium,To Do,S1 Fundación (17/08-28/08),Steven Febre Rivera,Infraestructura,REVO,infraestructura,versionado
18,,Task,Investigar referentes visuales y fijar la dirección de arte,"El público objetivo es joven-adulto universitario. La dirección tiene que decidirse, no salir por defecto.

CRITERIOS DE ACEPTACIÓN
1. Al menos cinco referentes reales analizados y documentados
2. Dirección elegida con justificación escrita frente a las descartadas
3. Paleta preliminar validada en contraste sobre fondo claro y oscuro

Identificador interno: TK-39",,Diseño y Experiencia,3,Medium,To Do,S1 Fundación (17/08-28/08),Alexis Morante Herrera,Frontend,REVO,ux,diseno
19,,Task,Elaborar la matriz de riesgos del proyecto,"Riesgos conocidos: dataset sintético, disponibilidad del equipo, dependencia de un único despliegue gratuito.

CRITERIOS DE ACEPTACIÓN
1. Cada riesgo con probabilidad, impacto, responsable y plan de mitigación
2. Los riesgos de severidad alta tienen tarea asociada en el backlog
3. La matriz se revisa en cada retrospectiva

Identificador interno: TK-51",,Gestión del Proyecto,3,Medium,To Do,S1 Fundación (17/08-28/08),Hebert Cornejo Garcia,Documentación,REVO,planificacion,riesgos
20,,Task,Acordar las ceremonias Scrum y el plan de comunicación del equipo,"Cuatro estudiantes con horarios distintos: las ceremonias se agendan o no ocurren.

CRITERIOS DE ACEPTACIÓN
1. Planificación, revisión y retrospectiva agendadas para los nueve sprints
2. Daily asíncrona con formato y hora límite acordados
3. Canal único de decisiones y responsable de registrarlas

Identificador interno: TK-52",,Gestión del Proyecto,2,Medium,To Do,S1 Fundación (17/08-28/08),Steven Febre Rivera,Documentación,REVO,planificacion,
21,,Task,Definir la arquitectura de componentes y los tokens de diseño del frontend,"Fijar la estructura de carpetas y las variables CSS antes de maquetar evita reescribir estilos después.

CRITERIOS DE ACEPTACIÓN
1. Estructura por dominio: pages, components, hooks, services, theme
2. Tokens de color, tipografía y espaciado declarados como variables CSS
3. Definido el criterio de cuándo un estilo es global y cuando es de componente

Identificador interno: TK-53",,Diseño y Experiencia,5,Medium,To Do,S1 Fundación (17/08-28/08),Alexis Morante Herrera,Frontend,REVO,frontend,ux
22,,Story,"Como equipo, queremos un sistema visual con paleta y tipografía definidas, para mantener coherencia en toda la aplicación","Diez especializaciones necesitan identidad cromática distinguible sin romper el contraste.

CRITERIOS DE ACEPTACIÓN
1. Paleta con rol semántico definido para cada color, no solo decorativo
2. Contraste mínimo AA (4.5:1) verificado en texto y 3:1 en elementos de interfaz
3. Escala tipográfica y de espaciado publicadas como tokens reutilizables

Identificador interno: HU-03",,Diseño y Experiencia,5,High,To Do,S2 Diseño y sistema visual (31/08-11/09),Alexis Morante Herrera,Frontend,REVO,ux,diseno
23,,Story,"Como equipo, queremos prototipos de todas las pantallas, para validar el flujo antes de programar","Prototipar es más barato que rehacer. Incluye los estados vacio, cargando y error, que suelen olvidarse.

CRITERIOS DE ACEPTACIÓN
1. Prototipos de landing, autenticación, dashboard, cuestionario, resultados, historial y panel admin
2. Cada pantalla resuelta en móvil, tablet y escritorio
3. Estados vacio, cargando y error contemplados en cada pantalla
4. El flujo completo recorrido por una persona ajena al equipo sin ayuda

Identificador interno: HU-04",,Diseño y Experiencia,8,High,To Do,S2 Diseño y sistema visual (31/08-11/09),Alexis Morante Herrera,Frontend,REVO,ux,diseno
24,23,Sub-task,Prototipar el flujo público: landing y autenticación,Sub-tarea de HU-04.,,,,High,To Do,S2 Diseño y sistema visual (31/08-11/09),Alexis Morante Herrera,Frontend,REVO,ux,
25,23,Sub-task,"Prototipar el flujo del estudiante: dashboard, cuestionario, resultados e historial",Sub-tarea de HU-04.,,,,High,To Do,S2 Diseño y sistema visual (31/08-11/09),Alexis Morante Herrera,Frontend,REVO,ux,
26,23,Sub-task,Prototipar el panel administrativo y los estados de error,Sub-tarea de HU-04.,,,,High,To Do,S2 Diseño y sistema visual (31/08-11/09),Alexis Morante Herrera,Frontend,REVO,ux,
27,23,Sub-task,Derivar cada pantalla a las tres anchuras de referencia,Sub-tarea de HU-04.,,,,High,To Do,S2 Diseño y sistema visual (31/08-11/09),Alexis Morante Herrera,Frontend,REVO,ux,
28,,Story,"Como responsable del servicio, quiero un catálogo de servicios con SLA definidos, para establecer compromisos medibles","Componente ITIL del curso. Un SLA sin métrica asociada no es un compromiso, es una intención.

CRITERIOS DE ACEPTACIÓN
1. Catálogo con cada servicio, su responsable y su horario de atención
2. SLA con disponibilidad objetivo, tiempo de respuesta y ventana de mantenimiento
3. Cada compromiso tiene definida la fuente de datos que lo mide

Identificador interno: HU-20",,Gestión del Servicio,5,High,To Do,S2 Diseño y sistema visual (31/08-11/09),Hebert Cornejo Garcia,Documentación,REVO,itil,documentacion
29,,Task,Validar contraste y accesibilidad de los prototipos,"Se valida en prototipo porque corregir contraste con la interfaz ya construida cuesta el triple.

CRITERIOS DE ACEPTACIÓN
1. Todos los pares texto-fondo cumplen WCAG AA
2. Ningún estado depende solo del color para comunicarse
3. Orden de foco y navegación por teclado definidos en el prototipo

Identificador interno: TK-07",,Diseño y Experiencia,3,Medium,To Do,S2 Diseño y sistema visual (31/08-11/09),Steven Febre Rivera,Frontend,REVO,accesibilidad,ux
30,,Task,Inicializar el proyecto React con Vite y la estructura de carpetas,"Base técnica del frontend acordada en TK-53.

CRITERIOS DE ACEPTACIÓN
1. El proyecto arranca en local con un solo comando
2. Enrutado, cliente HTTP y contexto de sesión configurados
3. Linter y formateador activos con la configuración del equipo

Identificador interno: TK-08",,Infraestructura y DevOps,3,High,To Do,S2 Diseño y sistema visual (31/08-11/09),Wilson Collantes Aponte,Frontend,REVO,frontend,infraestructura
31,,Task,Definir el procedimiento de gestión de cambios,"Todo cambio en producción pasa por solicitud, evaluación de impacto y aprobación.

CRITERIOS DE ACEPTACIÓN
1. Plantilla de solicitud de cambio con impacto y plan de reversión
2. Criterio para distinguir cambio estandar, normal y de emergencia
3. Registro de cambios con responsable y resultado

Identificador interno: TK-26",,Gestión del Servicio,3,Medium,To Do,S2 Diseño y sistema visual (31/08-11/09),Hebert Cornejo Garcia,Documentación,REVO,itil,documentacion
32,,Task,Dejar el entorno local reproducible con Docker Compose,"Cuatro máquinas distintas: el entorno tiene que levantarse igual en todas.

CRITERIOS DE ACEPTACIÓN
1. Un solo comando levanta base de datos y los tres servicios
2. Los datos de la base persisten entre reinicios mediante volumen
3. Ningún secreto con valor por defecto dentro del compose

Identificador interno: TK-40",,Infraestructura y DevOps,5,High,To Do,S2 Diseño y sistema visual (31/08-11/09),Steven Febre Rivera,Infraestructura,REVO,infraestructura,devops
33,,Task,Acordar la Definición de Preparado y la Definición de Terminado,"Sin DoD escrita cada integrante cierra tareas con un criterio distinto.

CRITERIOS DE ACEPTACIÓN
1. DoR: historia con criterios de aceptación, estimada y sin dependencias abiertas
2. DoD: código revisado por un par, con pruebas, sin secretos y desplegado en el entorno de pruebas
3. Ambas publicadas en el tablero y aceptadas por los cuatro integrantes

Identificador interno: TK-41",,Gestión del Proyecto,2,Medium,To Do,S2 Diseño y sistema visual (31/08-11/09),Hebert Cornejo Garcia,Documentación,REVO,planificacion,
34,,Task,Implementar el esqueleto del servicio de autenticación,"Servicio vacio pero desplegable: valida configuración, conecta a la base y responde salud.

CRITERIOS DE ACEPTACIÓN
1. Endpoint de salud que verifica la conexión a base de datos
2. La configuración se lee de variables de entorno y falla al arrancar si falta alguna obligatoria
3. Estructura de routers, esquemas y modelos creada

Identificador interno: TK-54",,Autenticación y Cuentas,5,High,To Do,S2 Diseño y sistema visual (31/08-11/09),Wilson Collantes Aponte,Backend,REVO,backend,
